2014/11/08 02:02:08	Temp:14.00 	1:1022:0417:2.45173	2:0336:0302:1.11381	3:0393:0339:1.15901	4:0142:0230:0.61791
2014/11/08 02:02:14	Temp:14.00 	1:1022:0417:2.45297	2:0336:0302:1.11403	3:0393:0339:1.15938	4:0141:0229:0.61784
2014/11/08 02:02:20	Temp:14.00 	1:1022:0417:2.45266	2:0336:0302:1.11349	3:0393:0339:1.15891	4:0141:0229:0.61724
2014/11/08 02:02:25	Temp:14.00 	1:1022:0417:2.45212	2:0336:0302:1.11377	3:0393:0339:1.15923	4:0141:0229:0.61752
2014/11/08 02:02:31	Temp:14.00 	1:1022:0417:2.45267	2:0336:0302:1.11440	3:0393:0339:1.15936	4:0141:0229:0.61765
2014/11/08 02:02:37	Temp:14.00 	1:1022:0418:2.44227	2:0338:0303:1.11459	3:0394:0340:1.15941	4:0142:0230:0.61747
2014/11/08 02:02:43	Temp:14.00 	1:1022:0417:2.45202	2:0336:0302:1.11379	3:0393:0339:1.15944	4:0141:0230:0.61704
2014/11/08 02:02:49	Temp:14.00 	1:1022:0417:2.45306	2:0336:0302:1.11360	3:0393:0339:1.15925	4:0141:0229:0.61726
2014/11/08 02:02:54	Temp:14.00 	1:1022:0416:2.45406	2:0336:0302:1.11463	3:0393:0339:1.15962	4:0141:0229:0.61738
2014/11/08 02:03:00	Temp:14.00 	1:1022:0416:2.45327	2:0336:0302:1.11384	3:0393:0339:1.15901	4:0142:0230:0.61738
2014/11/08 02:03:06	Temp:14.00 	1:1022:0417:2.45287	2:0336:0302:1.11401	3:0393:0339:1.15930	4:0141:0230:0.61723
2014/11/08 02:03:12	Temp:14.00 	1:1022:0417:2.45301	2:0336:0302:1.11418	3:0393:0339:1.15911	4:0141:0229:0.61736
2014/11/08 02:03:18	Temp:14.00 	1:1022:0417:2.45314	2:0336:0302:1.11385	3:0393:0339:1.15937	4:0141:0229:0.61718
2014/11/08 02:03:23	Temp:14.00 	1:1022:0416:2.45331	2:0336:0302:1.11378	3:0393:0339:1.15898	4:0141:0230:0.61730
2014/11/08 02:03:29	Temp:14.00 	1:1022:0418:2.44213	2:0338:0303:1.11431	3:0394:0340:1.15927	4:0142:0230:0.61726
2014/11/08 02:03:35	Temp:14.00 	1:1022:0417:2.45230	2:0336:0302:1.11389	3:0393:0339:1.15876	4:0141:0229:0.61745
2014/11/08 02:03:41	Temp:14.00 	1:1022:0417:2.45223	2:0336:0302:1.11417	3:0393:0339:1.15917	4:0142:0229:0.61753
2014/11/08 02:03:46	Temp:14.00 	1:1022:0417:2.45197	2:0336:0302:1.11415	3:0393:0339:1.15923	4:0142:0229:0.61783
2014/11/08 02:03:52	Temp:14.00 	1:1022:0416:2.45328	2:0336:0302:1.11466	3:0393:0339:1.15961	4:0142:0230:0.61869
2014/11/08 02:03:58	Temp:14.00 	1:1022:0417:2.45300	2:0336:0302:1.11427	3:0393:0339:1.15907	4:0141:0230:0.61726
2014/11/08 02:04:04	Temp:14.00 	1:1022:0417:2.45267	2:0336:0302:1.11405	3:0393:0339:1.15962	4:0141:0230:0.61722
2014/11/08 02:04:10	Temp:14.00 	1:1022:0417:2.45204	2:0336:0302:1.11428	3:0393:0339:1.15956	4:0141:0229:0.61750
2014/11/08 02:04:15	Temp:14.00 	1:1022:0416:2.45364	2:0336:0302:1.11461	3:0393:0339:1.15964	4:0141:0229:0.61733
2014/11/08 02:04:21	Temp:14.00 	1:1022:0416:2.45356	2:0338:0303:1.11551	3:0394:0340:1.15967	4:0142:0230:0.61760
2014/11/08 02:04:27	Temp:14.00 	1:1022:0417:2.45317	2:0336:0302:1.11444	3:0393:0339:1.15972	4:0141:0230:0.61725
2014/11/08 02:04:33	Temp:14.00 	1:1022:0417:2.45256	2:0336:0302:1.11411	3:0393:0339:1.15980	4:0142:0229:0.61786
2014/11/08 02:04:38	Temp:14.00 	1:1022:0416:2.45372	2:0336:0302:1.11449	3:0393:0339:1.15985	4:0142:0229:0.61786
2014/11/08 02:04:44	Temp:14.00 	1:1022:0416:2.45361	2:0336:0302:1.11452	3:0393:0339:1.15961	4:0142:0229:0.61787
2014/11/08 02:04:50	Temp:14.00 	1:1022:0417:2.45274	2:0336:0302:1.11418	3:0393:0339:1.15937	4:0142:0229:0.61777
